uniqid,zip,from.year,from.month,from.day,to.year,to.month,to.day
696,17195,2020,3,23,2020,5,24
697,17197,2020,3,23,2020,5,24
698,17199,2020,3,23,2020,5,24
699,17201,2020,3,23,2020,5,24
700,17203,2020,3,23,2020,5,24
701,18001,2020,3,23,2020,5,24
702,18003,2020,3,23,2020,5,24
703,18005,2020,3,23,2020,5,24
704,18007,2020,3,23,2020,5,24
705,18009,2020,3,23,2020,5,24
706,18011,2020,3,23,2020,5,24
707,18013,2020,3,23,2020,5,24
708,18015,2020,3,23,2020,5,24
709,18017,2020,3,23,2020,5,24
710,18019,2020,3,23,2020,5,24
711,18021,2020,3,23,2020,5,24
712,18023,2020,3,23,2020,5,24
713,18025,2020,3,23,2020,5,24
714,18027,2020,3,23,2020,5,24
715,18029,2020,3,23,2020,5,24
716,18031,2020,3,23,2020,5,24
717,18033,2020,3,23,2020,5,24
718,18035,2020,3,23,2020,5,24
719,18037,2020,3,23,2020,5,24
720,18039,2020,3,23,2020,5,24
721,18041,2020,3,23,2020,5,24
722,18043,2020,3,23,2020,5,24
723,18045,2020,3,23,2020,5,24
724,18047,2020,3,23,2020,5,24
725,18049,2020,3,23,2020,5,24
