,date,Province_State,Confirmed,Deaths,Recovered,Active
1492,2020-04-06,New York,131815,4698.0,0.0,127117.0
1493,2020-04-06,North Carolina,2962,45.0,0.0,2917.0
1494,2020-04-06,North Dakota,225,3.0,0.0,222.0
1495,2020-04-06,Northern Mariana Islands,8,1.0,0.0,7.0
1496,2020-04-06,Ohio,4453,142.0,0.0,4311.0
1497,2020-04-06,Oklahoma,1329,51.0,0.0,1278.0
1498,2020-04-06,Oregon,1068,27.0,0.0,1041.0
1499,2020-04-06,Pennsylvania,13127,179.0,0.0,12948.0
1500,2020-04-06,Puerto Rico,513,21.0,0.0,492.0
1501,2020-04-06,Recovered,0,0.0,19581.0,-19581.0
1502,2020-04-06,Rhode Island,1082,27.0,0.0,1055.0
1503,2020-04-06,South Carolina,2232,48.0,0.0,2184.0
1504,2020-04-06,South Dakota,288,4.0,0.0,284.0
1505,2020-04-06,Tennessee,3802,65.0,0.0,3737.0
1506,2020-04-06,Texas,8043,150.0,0.0,7893.0
1507,2020-04-06,Utah,1685,13.0,0.0,1672.0
1508,2020-04-06,Vermont,543,23.0,0.0,520.0
1509,2020-04-06,Virgin Islands,43,1.0,0.0,42.0
1510,2020-04-06,Virginia,2878,66.0,0.0,2812.0
1511,2020-04-06,Washington,8311,381.0,0.0,7930.0
1512,2020-04-06,West Virginia,345,4.0,0.0,341.0
1513,2020-04-06,Wisconsin,2449,78.0,0.0,2371.0
1514,2020-04-06,Wyoming,210,0.0,0.0,210.0
1515,2020-04-07,Alabama,2169,64.0,0.0,2105.0
1516,2020-04-07,Alaska,213,6.0,0.0,207.0
1517,2020-04-07,Arizona,2870,73.0,0.0,2797.0
1518,2020-04-07,Arkansas,946,18.0,0.0,928.0
1519,2020-04-07,California,17351,432.0,0.0,16919.0
1520,2020-04-07,Colorado,5429,179.0,0.0,5250.0
1521,2020-04-07,Connecticut,7781,277.0,0.0,7504.0
1522,2020-04-07,Delaware,928,16.0,0.0,912.0
1523,2020-04-07,District of Columbia,1211,22.0,0.0,1189.0
1524,2020-04-07,Florida,14545,283.0,0.0,14262.0
1525,2020-04-07,Georgia,8822,329.0,0.0,8493.0
1526,2020-04-07,Grand Princess,103,3.0,0.0,100.0
1527,2020-04-07,Guam,121,4.0,0.0,117.0
1528,2020-04-07,Hawaii,410,5.0,0.0,405.0
1529,2020-04-07,Idaho,1170,13.0,0.0,1157.0
1530,2020-04-07,Illinois,12271,308.0,0.0,11963.0
1531,2020-04-07,Indiana,5510,173.0,0.0,5337.0
1532,2020-04-07,Iowa,1046,25.0,0.0,1021.0
1533,2020-04-07,Kansas,912,29.0,0.0,883.0
1534,2020-04-07,Kentucky,1149,65.0,0.0,1084.0
1535,2020-04-07,Louisiana,16284,582.0,0.0,15702.0
1536,2020-04-07,Maine,519,12.0,0.0,507.0
1537,2020-04-07,Maryland,4371,103.0,0.0,4268.0
1538,2020-04-07,Massachusetts,15202,356.0,0.0,14846.0
1539,2020-04-07,Michigan,18970,845.0,0.0,18125.0
1540,2020-04-07,Minnesota,1069,34.0,0.0,1035.0
1541,2020-04-07,Mississippi,1915,60.0,0.0,1855.0
1542,2020-04-07,Missouri,3130,65.0,0.0,3065.0
1543,2020-04-07,Montana,319,6.0,0.0,313.0
1544,2020-04-07,Nebraska,447,10.0,0.0,437.0
1545,2020-04-07,Nevada,2124,72.0,0.0,2052.0
1546,2020-04-07,New Hampshire,715,9.0,0.0,706.0
1547,2020-04-07,New Jersey,44416,1232.0,0.0,43184.0
1548,2020-04-07,New Mexico,876,13.0,0.0,863.0
