date,Max,Avg,Min,State
2020/5/13,69,56.9,45,North Carolina
2020/5/13,56,48.2,42,North Dakota
2020/5/13,66,53.3,35,Ohio
2020/5/13,74,60.6,51,Oklahoma
2020/5/13,60,53.2,49,Oregon
2020/5/13,69,56.4,40,Wyoming
2020/5/13,65,51.8,32,Wisconsin
2020/5/13,61,50.5,35,West Virginia
2020/5/13,64,56,52,Washington
2020/5/13,70,57.5,43,Virginia
2020/5/13,57,47.6,34,Vermont
2020/5/13,66,59.1,54,Utah
2020/5/13,87,73.2,62,Texas
2020/5/13,69,59.2,53,Tennessee
2020/5/13,62,50.5,40,South Dakota
2020/5/13,75,64.2,50,South Carolina
2020/5/13,60,50.1,37,Rhode Island
2020/5/13,66,52.3,39,Pennsylvania
2020/5/14,87,74,60,Alabama
